pool_idx;ulasan
704;"""Siapa yang nyingkat jadi Kopi ABS segala!!!??"
705;"Susah nyari di MAP Sesat!!!"""
706;Bermacam-macam pilihan rasa coffe ada disini, tempat untuk santai bersma teman-teman, atau keluarga juga enak
707;enak buat nongkrong bareng temen dan sendirian, tempat nyaman, ada smoking area diluar
708;Risolesnya enak banget. Kopi sekut dan coklatnya lumayan. Vibenya enak buat nongkrong dan lama-lama di sini.
709;Rekomendasi coffeshop di Palangkaraya nih, buat nongkrong, diskusi, me time, atau beli Beans dan alat buat kopi
710;Nice place.. Good food👍👍 …
711;Tempatnya rame, banyak cewe cantik, kadang ketemu temen lama, asique gitu tempatnya
712;Ngopi2 santai di malam hari paling pas di ABS
713;Es Kopi Sekut Favorit bangettt
714;tempat nya mantap
715;Kopi nya enak apalagi es sekut pake banget, bisa bikin candu  ❤
716;👍 …
717;Termasuk cafe kopi favorite selama di Palangka Raya ini, dari mulai ambience dan rasa kopinya
718;Tempat paling enak buat santuy sambil ngeghibah sama menghayal 😂😂😂 …
719;tempat nongkrongnya anak muda sambil menikmati enak kopi
720;Their serve various types of coffee on a very affordable prices. The place is too crowded tho, but i heard they will be moving out into new place.
721;"""Tempat ngopi anak muda n full terus"
722;"es red velvet ny 👍 …"""
723;Seneng banget ke sini, minumannya enak & costumer service nya excellent!
724;Tempatnya kalau ke Palangkaraya jgn lupa mampir ke about something minumannya enak -enak
725;Jual produk skincare, bodycare, haircare by JAFRA n Hairrepair.id
726;"""Atmosphere is good. Cozy outdoor."
727;"The coffee is good as well."""
728;Luas nyaman. Makanannya ada yg kemanisan ada yg keasinan.
729;Tersedia berbagai macam jenis menu kopi dan non kopi 👍 …
730;Mantap deeeh untuk santai dan melepas lelah sehabis kerjä...
731;Coffee Roastery,tempat nongkrong recommended dari para teenager
732;Bersih, Rapi & Banyak pilihan menunya. JOSSS
733;Tempatnya nyaman dan bersih, untuk lantainya kalau bisa dikeramik
734;Suasana enak, kopinya Juara
735;Bagus buat nongki bersama teman sambil ngopi
736;Good vibe
737;Penggemar kopi wajib mampir..
738;Parkir luas
739;Kangen Yogya kalau kesini.. minumannya juga enak..
740;Taste kopinya ok banget
741;asik dan murmer untuk anak kosan kyk saya wkwkwk
742;Di dalam panas,  AC nya kurang dingin
743;Sekut pake banget kebangetan enaknya ☕👍 …
744;Tmptnya nyamn, kopinya enak
745;Penuh kopi sekut bgtnya enak
746;Lumayan tempat oke dan menarik
747;Good place for drink coffe and having fun with friends.
748;So sweet coffee robusta expresso by sbout something coffee
749;Lumayan buat kumpul bareng teman
750;sangat baik pelayanan nya
751;Ngopi santuy Nongkrong santuy
752;Tempat nongkrong paling rekomen
753;Tempat ngupi yang ramai di Palangka raya
754;Kopi terbaik
755;good taste, fast services..
756;Ini enak
757;Paling asik untuk killing time
758;Abangnya ganteng ganteng!
759;Mantap 👍 …
760;Like the place to hang out.
761;Lambatttttt prosesnya
762;Cozy, the coffee was good and cheap
763;Good looking
764;Sip
765;Yasshhh 🤩 …
766;Sekutnya enak 👌, + mixtura cair mangganya enak. Hehehe …
767;Tambaheee lagee...
768;Ahhh suka sekali.. 😍 …
769;Sekte
770;sempurna
771;Aaaaah
772;Berikutnya
773;BERIKUTNYA
774;Kereeeeennn
775;Bakal balik terusss, dimana lagi ramen cuma 35 rb an kopo susu 10 ribu an, 24 jam lagi, terimakasih sudah menyeduakan tempat ngopi murah dan enakk, tempat nya juga nyamann, sukses terus toko kopi bumi🔥🔥 …
776;Kopi nya enakk, varian makanannya banyak, suasananya nyaman dan ditambah lagi banyak sekali spot foto keren
777;Suasana nyaman, makanan dan minuman cocok di lidah, punya indoor dan outdoor luas terus buka 24 jam.
778;"""tempatnya cozy bgt, cocok buat nongkrong biasa atau mau ngerjain tugas, minuman dan makanan nya juga enak dengan harga yang tentunya affordable di dompet 🤩🤩🤩🤩"
779;"sukses terus buat toko kopi bumi 🔥🔥 …"""
780;Tempatnya enak full ac adem dan estetik tp sayang menu2 makannya krg cocok d aku tampilan bgus tp d lidah jauh dr ekspektasi 🙏🏼 …
781;Kopinyaa enak dan murahhh, ramen currynya juga best banget pokoknyaa😍🤩🤩 …
782;Kopi nya enak dan murah, pelayanan nya juga ramah jadi betah nongkrong di sana
783;Tempat nya sangat nyaman untuk nyantai, dan harganya sangat terjangkauuu. Pokoknya The Best
784;"""ramyun nya best😍😍😍😍"
785;"kopi susunyaa murah dan enakkkk …"""
786;"""cozy place untuk nongkrong dan chill bareng teman"""""""
787;Makanan dan minumannya enak, Recomended
788;Kopi susu raka nya 10rb? Benar benar enak
789;Kopi susunya murah enakk🤩 …
790;enak bangettt🥰🫶🏻 …
791;Untuk kupinya agak lumayan terasa buat strongnya. Tempat lumayan banyak kursinya. Di dalam kurang dingin malah agak cenderung hangat. Pesan cemilan agak lama selesai nya. Sukses selalu..
792;"""Tidak rekomendasi untuk pesan via online..."
793;"Terlalu lama ..."""
794;Kopi nya enak sesuai dengan selera. Tempatnya juga cocok untuk ngopi sambil work from cafe.
795;Makanannya enak, pelayanan ramah, suasana syahdu
796;Cafe ini beneran cozy banget! Suasana nyaman, dekorasi Instagramable, dan kopi mereka juara. Menu makanan juga oke, cocok buat nongkrong santai sama temen atau sendirian sambil kerja. Recommended! ☕👌 …
797;Asik buat nongkrong dan nugas, menu lumayan lengkap
798;Minuman dan makanan banyak pilihan tempat enaka
799;"""Harga terjangkau dan tempatnya luas, cocok buat ngumpul bareng teman"""" 👍👍 …"""
800;Menu, suasana dan pelayanan nya sih B aja (BEST)
801;enak buat santai,terutama malam
802;Untuk tempat seperti rumah, bisa santai dan luas. Terdapat parkiran, tempat duduk diluar dan didalam. Ada juga toilet didalam. Beberapa bagian dari ruangan estetik yang menjadi wadah berfoto. Sebagai tempat meeting kantoran bagus, tidak …
803;"""Bukan untuk yang kelaperan dan buru-buru."
804;"Nikmati kopinya... ngobrol bersama teman/keluarga sembari menunggu makanan disiapkan bisa mengurangi rasa bosen/lama menunggu makanan kita siap."""
805;these places have a good vibe, mampir ke sini pagi2 saat baru buka. Kopinya enak dan suasananya juga nyaman. Salah satu rekomendasi buat yang berkunjung saat tuga ke Palangkaraya, terutama yang dari Jakarta atau Bandung, tempat ini punya ambiance yang sama.
806;Tempatnya nyaman untuk hangout bareng teman. Ada mushollanya. Namun saat berkunjung pilihan beans untuk manual brew tinggal dikit jadi minum yang ada aja. Overall goods.
807;Mantapp... americano !!, tempat pun woke
808;Suka cafe ini karena buka pagi2, cocok buat kami yang cuma punya waktu nongki di pagi hari 😁😍kemaren pesan kopi yg signature 1969 latte iced, pas banget di aku , cemilannya juga mantap2 👍👍next bakal balik lagi kesini.. …
809;"""Tempatnya nyaman dan bersih"
810;Makannya juga enak
811;"Bagus untuk tempat nongkrong"""
812;Tersembunyi tapi tidak mengurangi keistimewaannya.. Coffee shop yang bertemakan suasana “masa lampau” tapi tetap dikemas dengan manis dan minimalist.. tempatnya tenang dan santai buat ngumpul bareng temen2.. pilihan menunya tetap harus …
813;"""First time kesini karna di ajak temen2."
814;"First time jg nunggu orderan makanan yg dtg nya sampe 1 1/2 jam 🥹🙏 …"""
815;"""Makanan nya variatif n enak lho dr yg pertama dia buka"
816;"Cafe nya tambah nyaman"""
817;Kopi enak. Pelayanan Ramah. Sangat Ramah. Buka pagi diantara beberapa yang buka di sini, memudahkan untuk ngopi pagi sebelum berkegiatan.
818;Tempatnya enak buat nongki, terutama area outdoornya. Kopi dan makanan enak, cuman makanannya kurang banyak variasi aja.
819;Enjoy sih nongkrong santai disini 😊😊 makanan dan minumannya enak. …
820;Lama sekali makanan nya jadi pelayan nya kurang ramah
821;sangat rekomen untuk makanan dan kopinya serta tempatnya juga
822;Makananya enak enak semua, saya suka saya suka 🥰 …
823;Bar experience terbaik di palangkaraya
824;Tempat minum dan ngemil yang asik. Suasana/ambience ruangannya keren, ga panas, ada mushola juga, toilet bersih. Seduhan kopi manualnya perlu lebih konsisten, saya pesen 2 manual brew, yang satu pas taste-nya, tp yang satu agak strong, tp …
825;Enakkk bangettt, tempatnya juga cozy🖤🖤 …
826;Tempatnya asik, terutama bagian outdoornya. Kopi dan makanan enak, standar lah. Yang bikin betah karena tempatnya vibesnya asik aja. Makanan kurang banyak variasinya
827;cozy place and good food 👌🏼 …
828;Harga dan kualitas rasa sangat seimbang, menjadi tempat yang tepat untuk rapat atau hangout
829;A cozy place to have a chat with friends n pretty good coffe
830;Tempat nya enak buat ngobrol tanpa terganggu suara music..benar2 sound of nature gt deh😅berasa ngobrol d teras rumah..krn benar2 dengar suara org2 ngobrol/ketawa.. …
831;Ngopi santai mantappp sih🔥🔥🔥👌 …
832;Tempat nyaman, kopi jos
833;Minuman nya jos, makanannya enak
834;"""Beverage : the coffee is too sweet"
835;Snack : you should add the variety of your snack
836;"Place : the AC system doesn't cool down the air and I hope you can  fix that please."""
837;Bintang utk layanan dan sajian.. kopi originalnya yg top...
838;Suasana menyenangkan, bebas dari remaja yg heboh dan berisik
839;Kopi enak varian cukup banyak, cemilan juga enak, bangunan juga uni 😁 …
840;Tempatnya bersih,pelayanannya ramah,makanannya enk
841;Cozy place, good coffee
842;Tasty food 😋 a bit long waiting 😊 …
843;Good places
844;Kopi enak
845;Rekomen bangetz💜💜 …
846;Cozy... vintage
847;Enak 👍👍👍👍👍 …
848;Nice place
849;Recommended
850;lezat
851;"""Fore selalu recommend"
852;"Saya di kaltim, ke palangkaraya juga pas ada fore. …"""
853;Kopinya enaaakk bangettt, tempatnya jg nyaman polll utk nongkrong atau kerja. Pelayanannya juara, crew nya ramah. …
854;Alangkah lebih baiknya sediakan kursi untuk OJEK ONLINE nunggu di dalam, karena kalo kita nunggu diluar ketika orderan selesai tidak di antarkan dan dikasih tau. …
855;"""Biasa nya aku pesen isi nya full"
856;Karna emang sering pesen fore
857;"Ini isi nya dikit …"""
858;"""Kopi nya ya standar fore lah ya, good alternatives with reasonable price. Tetapi, service and hospitality nya harus diperbaiki."
859;"1. Karna ini coffee shop baru di Palangka Raya, jadi orang orang pada bingung …"""
860;tenang, adem, kopinya sangat enak ixixix
861;Terima kasih sudah hadir di kota Palangka Raya. Kopinya enak, pastrynya juga enak. Suasana bersih dan  nyaman. Ada smoking area juga
862;Mampir dulu sebelum melanjutkan Perjalanan. Konsep Tempatnya Go Green Banget
863;Nunggu lama banget, masa pesanan online antriannya disamakan dengan yg datang, dimana-mana kalo pesanan online antriannya beda, dan biasanya didahulukan, kalo gini sangat merugikan kami sebagai driver karena buang-buang waktu karna kelamaan …
864;"""Take a way 1 gelas kopi lewat aplikasi nunggu hampir 20 menit"
865;"Ayo mba2 yang cantik yg krja dsna jgn byk ngobrol/ghibah.."""
866;Pelayanan ramah, tempat nya bersih, fast respon ketika melayani, dan selalu jadi tempat favorite saya ke fore ketika ke palangkaraya, varian yang selalu saya pilih selalu buttercream tiramisu latte terbaikkkkk
867;Butterscotch Sea salt latte nya memang juara ⭐️⭐️⭐️⭐️⭐️
868;Tempatnya nyaman.
869;Pelayanan kurang ramah... Pesanan lama padahal gak rame2 banget
870;Bikin minuman sangat lama padahal pagi itu  saya sendirian tidak banyak antrian. Kerja baristanya agak lelet dan banyak ngobrol. Menunggu 4 minuman dengan menu sama sampai 30 menit. Sangat buang2 waktu. Mungkin perlu training agar lebih bekerja lebih efisien dan gerak lebih cepat lagi.
871;Menikmati minum di tempat dgn konsep yg hijau. Dan mborong buat oleh2
872;Caramel praline macchiato nya enak 🔥 Rasanya juga tetap enak walau ga langsung di habiskan …
873;Best coffeeshop in town❤️ The non smoking area is so chill—it can beat the hotness in Palangka Raya, best place to chill while sipping your coffee.
874;Tempat dan minuman dan pastry nya menarik
875;Pelayanannya ramah dan byk pilihan, baik  cofea maupun non cofea. Ada jual tumbler jg loh. Bagi pecinta americano, ada varian madu dgn menu Manuka Americano. Recommended banget deh
876;Cafe yg bagus dan bersih dengan pelayanan yg memuaskan. Bamyak pilihan kopi dan non kopi.
877;Tempat nyaman untuk nyantai dan ngopi
878;Tempat nya enak,  pelayanan nya ramah,  top banget,  pokok nya recomend.
879;My fav coffee shop in the town!!! Butterscotch Sea Salt Latte and ButterCream latte the best menu for me🤩 …
880;Pelayanan nya lama sekali, udah pesan dari aplikasi h-40 menit nympe lokasi blum juga selesai, mungkin bisa di management lgi bagaimana supaya bisa lebih cepat, bukan nya aplikasi dibuat supaya bisa pesan lebih efisien, kok malah yg pesan …
881;Over all good
882;"""Fore ini baru Di Pky, shg byk diserbu ank muda yg lgi nongkrong dg teman nya. Soal rasa, sama dg Fore di Jawa."
883;"Soal tempat, agak nya perlu di koreksi kmbali. Pengunjung datang utk melakukan …"""
884;"""“Orang yang suka ngopi selalu tau FORE yang terbaik”."
885;"“KOPI”Ketika Otak Perlu Inspirasi, kombinasikan dengan Butterscotch Sea Salt Latte”. …"""
886;Minumannya enak2, di tambah dengan pelayanan barsitanya yg baik dan ramah
887;Untuk menunggu 1 minuman aja nunggu lama sampai 30 menit lebih,enak kalau nunggu ada tempat duduk buat driver grab ini udah lama ,nunggu berdiri lagi...gak tau pesan itu grabfood atau express lama nya...jadi sebagai driver kapok ambil orderan di sini...
888;Lama bgtt antrinya, mungkin byk orderan kali ya
889;Minuman dan kue enak, tempat kumpul anak muda, WC hanya satu dan pas lagi tdk ada air. Mudahan yg akan datang lebih baik
890;Salah satu tempat ngopi paling nyaman di palangka. Kopi dan non-kopi hampir semuanya rekomended. Karena selalu ramai, siap-siap antri ya.
891;"""Terlalu lama menunggu pesanan.."
892;"Lelet dan banyak ngobrolnya  sehingga pesanan lama di sajikan, kariyaman tidak profisonal dalam pekerjaan."""
893;Best conditions
894;Tempatnya nyaman, pelayananya ramah. Oke banget buat nongki👍 …
895;Tempatnya luas & lokasi parkir luas
896;makanan dan tempatnya enak 😉 …
897;Minumannya enak
898;untuk service sangat2 lama dibandingkan gerai Fore yang lainnya padahal karyawan yang melayani cukup banyak.. pemesanan makanan di aplikasi tidak diberikan notif ketika selesai, sehingga harus menunggu 40 menit tidak dipanggil2, ketika dikonfirmasi kembali ke meja pengambilan baru diberikan..
899;selalu lambat pesanan jadi tiap kali kesini gak pernah garcep padahal baristanya banyak tapi tetap lama pesanan jadi
900;Tempatnya belum lama buka, desainnya bagus, kopinya enak. Pemesanannya juga mudah karena bisa lewat aplikasi.
901;Kopinya enak dan tempatnya bersih
902;Tempat ngopi yg enak, akhirnya ga perlu ke Banjarmasin lagi buat menikmati aren latte Fore 😍 …
903;Pelayanan nya ramah dan makan nya juga enak”
904;"""Fore Coffee terbaik pokoknya,,,Bakalan jadi tmpat nongkrong Favorit,  bawa anak juga oke krena ada Fore Junior,,"
905;"Sukses trus Fore Coffee"""
906;Kebanyakan barista. Tapi nunggu nya lama. Hadeh..
907;Tempat nyaa enak buat santai, pelayanan nyaa sangat baik.. pokoknya recommended banget udh santai di fore
908;Good food, good beverage (kopinya best lah) dan suasana cafenya enak buat nongkrong dan WFC
909;"""Cafe yang sangat nyaman di palangkaraya"
910;Membawa suasana cozy dan kekinian
911;"Enak buat nongkrong dengan teman, keluarga atau partner kerja"""
912;tempatnya nyaman ,bersih dan coffenya enak2
913;"""Coffenya sangat enak dan pelayanannya juga bagus"
914;"Tempatnya cocok buat yang mau nongkrong lama krna nyaman dan bersih"""
915;Kopinya enak,tempatnya nyaman, pelayanannya sangat ramah .
916;Enak, dingin. Cuma musik agak terlalu nyaring. Kalau bekerja perlu ketenangan agak kurang pas kalau menurut saya
917;Tempatnya sangat nyaman, dan full ac sangat memanjakan costumer
918;Tempat nya nyaman dan coffe nya juga enak
919;Tepat santai paling enak dan ga berisik wifi kenceng banget 👍👍👍 …
920;Minuman nya enak ...... kopi nya da best
921;Dapat paket discount drink+pastry
922;Senang ada alternatif pilihan tempat nongki di Pky. Rasanya enak, byk pilihan..
923;Pelayanan ramah banget, kopi enak jugaa, barista juga cakep cakep.
924;Cafe yg nyaman ditengah kota
925;BAGUS BANGET PELAYANAN RAMAH LOVE BANGET, NAIKKIN GAJI KRAYAWAN
926;semuanya enak dan transaksi mudah 🥰 …
927;Best Berry Manuka Americano.. enak banget..
928;nice place and i love all the menu 💛 …
929;Dingin, roti dan minuman lengkap
930;Cukup nyaman di ruangan indoornya
931;Pelayanan nya cepat dan ramah
932;Enak pake bingits ..pasti balik lagi
933;Makan dan kopi nya enak pelayanan nya juga ramah
934;Tempat nyaman dan minuman favorite
935;Pelayanannya sangat bagus
936;Terimakasih atas pelayanannya, bagus bagus 👏🏻 …
937;Coffee nya uuuueeennnaaakkk..
938;Good coffee..
939;Coffe nya enak
940;Paling suka kopi disini
941;enak nyaman dan ramah
942;americano ice no gula..seger juga.
943;Favv bgt butterscotch🫠 pelayanannya ramah⭐️⭐️⭐️⭐️⭐️ …
944;God very good enak kali lah
945;Kopi enak dan pelayanan nya ramah
946;Pelayanan cepat dan ramah
947;Nice cafe with modern and clean ambience.
948;Sangat lama
949;sangat sangat enak difore ini
950;Mantap kopinya
951;dark chocoLate nya juara
952;Good good OMG fantastic Good
953;Enak kopinya
954;Enak, bagus
955;Rekomen buat hangout
956;Good vibes
957;Looks clean
958;Terima kasih foree choco almond sama caramel pralinenya juaraa 1 enak bgtt🙌🙌🙌 …
959;Enak2...
960;Cozi suka untuk h.o dengan sahabat
961;Terbaik ✨✨✨
962;Stabil
963;"""Nice and always comfortable Place to have meeting with Groups."
964;"We can Reserved before, and Order the food."""
965;main menu nya enak semua terutama ricebowl nya, untuk drinks menu nya juga sesuai kok di kalangan semua umur. tempatnya cocok buat nyantai di waktu break time atau lunch sama teman ngantor👍🏻tapi indoor nya meskipun ber ac, tetap panas🙂tpi gakpapa yg penting makanan enak …
966;"""Sangat kecewa dengan pelayanannya..."
967;"Saya dan keluarga menunggu pesanan makanan hampir 40 menitan menunggu... setelah saya Cek ke cashier dan cashier nya menuju ke dapur alangkah terkejutnya …"""
968;"""main dish-nya enak-enak, berasa sekali niat masaknya hehehe. rice bowl crispy chicken sambal matah dan nasi daging gepuk sambel ijonya recommended."
969;"side dishes juga enak onion ring sama squid squadnya. …"""
970;Low price with great taste and ambience. A great place to visit with your friends, family, or special one. enjoy the delicious meal or drink and funtalk with your partner or friends.  the place is nice, comfortable and cozy. …
971;Tempatnya enak nih buat nongkrong ada outdoor dan indoor tapi banyakan outdoornya,untuk rasa enak banyak pilihan menu,harga relevan ya.. tergantung setiap org beda,menurut saya sih rekomendet dah
972;Suka sama tempat ini cuma kadang2 bingung mau duduk dimana saking ramenya. Makanan,minuman dll top markotop deh
973;"""Comfy for chit-chat (main lobby), semi-private meeting area (indoor). Sadly, they dont serve the food/drink to your table. Theyre just shouting out your name."
974;"Indoor: 9/10 …"""
975;"""Tempatnya cozy"
976;Luas, kamar mandi bersih,prokes
977;"Kopinya enak harga standar …"""
978;"""Makanannya enak, rotinya bikin kenyang. Minumannya juga enak, dan baristanya pasti lihai banget. Tempatnya juga nyaman."
979;"Cuman 1 yang kurang, mbak resepsionis/kasir kurang ramah dan ga fleksibel. Kita nanya, dia nanya balik sampe bikin ga nyaman. Harus belajar lagi customer service yang baik."""
980;Tempat lega dan nyaman, ambience christmas nya berasa, indoor outdoor sama enak dan lega.
981;"""Dengan tatanan Desain interiornya berasa lgi ngafe di Kota Kembang.. 😬"
982;"gayanya gak monoton kyk kebanyakan cafe di kota ini. Setiap sudutnya instagramable. …"""
983;"""Tempat nya nyaman,, minuman & makanan ny juga enak, dg harga yg tidak mungaras kantong,, sangat di rekomendasikan bagi teman"""" Untuk mampir di TENTANG KOPI"""
984;Tempatnya enak, bersih, ada outdoor juga. Kopinya juga enak.
985;Ice chocolate is fine, so does matcha latte, nice hang out place, i like the inside warm lighting with cool air conditioning, chilling out feel nice here
986;Asik, tempatnya nyaman. Kemaren cuman pesan ice vanilla latte, enak. Lain kali pengen nyoba toast nya.
987;Udah reservasi buat nugas 15:00 , 17:35 di kasih tau klo jm 18:00 ada yg reservasi klo emng ada batas waktu nya dikasih tau dong sampai jm brpa.emng gitu ya etika nya meja yg masih ada org nya dibilang nanti ada yg reservasi sedangkan masih ada org nya. Harus nya klo emng ada aturan reservasi dikasih tau!!!!
988;Luas, parkir luas, cepat penyajian, ramah.. cocok juga untuk keluarga
989;saya mesen makanan kn tp lama banget datangnya, trs saya samperin ke kasir, kata mbakny masih bnyk pesanan jd harus nunggu padahal lgi ga begitu rame diliat2 🙂, trs setelah saya complain 5 menit kemudian makanan nya datang… itu ga lupa pesanan saya kan?, dan mbak/mas di kasir cuek2 yh gada senyum2nya …
990;"""LAMA BGT NUNGGU MAKAN SMPE 1 JAM ."
991;"KAN KITA GA BANYAK WAKTU BUAT NUNGGU MAKAN KARNA ADA URUSAN . AKU SAMPE KELAHI SM PACARKU . NEXT GA KESINI LAGI"""
992;Tempat cozy, banyak pilihan maknan dan minuman, app, maincorse, dessert.. hrg jg oke.. thhe best pokoknya
993;"""Menarik. Menu yang ditawarkan seperti kedai kopi lain, tetapi ada beberapa signature dish. Bisa memilih ruangan ber-AC atau tidak."
994;"Jika suatu saat ingin dilakukan peningkatan, mungkin area luar di bagian belakang bisa lebih dikelola sebab banyak nyamuk dan serangga."""
995;The toasts are good, but need improvement of coffee milk quality
996;cozy place, affordable price, the toast very good
997;Makanan dan minumannya enak²..harganya juga nggak mahal² banget kek kafe biasanya... minumannya dibawah 20k ... wifii lancar.. toilet ada beberapa...  tempat luas.. tempat duduk banyak..
998;Ramah, adem dan murah meriah
999;Tempat nongkrong anak muda Palangka Raya yang nyaman, suasana tenang dan bersih, cocok buat tempat mengerjakan tugas kuliah.
1000;Tempatnya bagus, suasananya nyaman
1001;Tempat nongkrong asik, harga terjangkau
1002;Enak banget buat bikin tugas , nongkrong , atau me time
1003;Tempatnya cocok buat nongkrong. Kopinya lumayan, rice bowl nya enak, toiletnya nyaman. Yang paling penting jelas tempat duduknya sofa jadi enak buat nongkrong lama di sini.
1004;Tempatnya luas dan bersih. Makanan dan minumannya berkualitas dan enak. Banyak space untuk nongkrong bareng. Worth it lah
1005;Tempat sih okee tapi layanan di tingkatin dong...perasaan nda terlalu rame pesenan juga ga ribet masak nunggu sampe 30 menit, udah gitu mbaknya jutek lagi
1006;Tempatnya asik, luas dan bersih, menu bervariasi dan whort it. Pelayanan ramah.
1007;Tempatnya nyaman,pilihan makananny banyak dan enak enak..minuman kopi ny enak dan strong..over all the best untuk tempat ini..
1008;Menu²nya ya lumayan enak, Tempatnya enak, santai bareng rekan bisnis
1009;Tempatnya enak buat ngobrol, menu toastnya juga enak. Parkirannya luas, tapi pas kesana, musik di dalam ruangan terlalu keras.
1010;"""Luar biasa.."
1011;Makanannya enak..
1012;"Tempatnya vibes banget.. …"""
1013;Tempat ternyaman buat WFC (Work From Cafe) dari semua kafe2 yg kudatangi di Pky. Best!!
1014;Nunggu 1 pesanan aja lama bgt padahal gak lagi rame, untuk pelayanan kasir bisa lebih ditingkatkan lagi ya supaya lebih ramah ke pembeli.
1015;Salah satu cafe dengan pelayanan terbaik dan nyaman.
1016;A good place to hang out. Their toast taste good and the portion is fine. They have many choice of drinks, from hot to cold.
1017;Toast nya enak
1018;Tempat santai bersama keluarga sambil myeruput kopi mantap
1019;a great place! highly recommended for hanging out or just relaxing 🍵 tempatnya juga strategis bagus lah pokoknya ygy keren 👍🏻 …
1020;Tempat nya nyaman
1021;Kopi tubruknya favorit
1022;banyak binatang kecil seperti lalat masuk kedalam dan juga ada plafon bocor, tempat nya bagus makanan lumayan
1023;makanan dan minumannya enak, tempatnya nyaman ☺👌 …
1024;Pelayanan ramah, minuman lumayan, tempat cocok buat nongki
1025;Kopinyaa enaaaak. Tempatnya cozy dan luaaas jd gausa khawatir ga kebagian tempat. Harga juga muraaaah.
1026;Saya sangat suka ayam goreng sambal mantahnya recommended banget..
1027;Selain kopinya enak, Ada makan beratnya juga.. bisa santai dan bikin kenyang.. 👍👍😆 …
1028;Tempatnya bagus, snack dan kopinya enakk
1029;"""Nyaman, buat nongkrong bareng teman"""". Makanan dan minumnya juga lengkap"""
1030;Tempat nya cozy, harga terjangkau dan jgn lupa cuci tangan, pake maskernya ya 👍 …
1031;Nice place, nice furniture, full AC and free wiFi, taste is good and cheap for the menu 💜 thank u …
1032;Nyaman, harga terjangkau dan enak
1033;Good coffee, cozy place!
1034;Tempat ya enak makanan jg enak²
1035;Desain interiornya sangat rapi dan terlihat modern
1036;Foods and beverages are good. The cashier's service could be improved more
1037;Tempat asyik, santai, dan enak. Harga stabil
1038;Teller kurang ramah, kurang menguasai menu
1039;Lumayan lama mana di suruh cepat terus sama customer :v
1040;Kopinya enak.. harganya worth it laaah
1041;Tempatnya cozy, pelayanan cepat..
1042;Tempat santai dgn rasa yg nikmat..🤗🤗 …
1043;nongki malam seru di sini buat ngobrol bareng temen
1044;Tempat yg mantap buat nongkrong...
1045;The best . Sukses terus tentang kopi
1046;hampir 2 jam pesanan belum juga.
1047;Espresso based coffee shop, non manual brewed
1048;Bagus dan menikmati
1049;mantul
1050;Sambal mantah enak
1051;Lama nunggu🤣🤣🤣 …
1052;Ok lah
1053;👍🏽🤤 …
1054;CG03 Ok.
1055;Feel sick because of uncooked egg.
1056;🙂👍 …
1057;Lokasinya instagramable banget.
1058;recomended 👍🏼 …
1059;👍👍👍👍👍 …
1060;Kerennn
1061;Joss
1062;"""Tempat yg sangat nyaman 🥰"
1063;"Dan makanannya juga enak².. …"""
1064;"""Kopinya enak"
1065;Makananya juga enak
1066;"Mantab"""
1067;"""INI BARU KOPISOP 😭"
1068;"pelayanan ramah bintang 5. makanan enak, tempat dingin, ada wifi (buat kerja), ADA BASIC TEA kwkwkwkwkwk. terrrrrrrbaaaaiiiikkkkkkkkkk …"""
1069;Kopinya enak, parkiran jg lumayan luas. Ada hanger buat sepeda, tp banyak kain lap. Jadi sepeda saya senderin aja 🫶🏽😅 …
1070;Kopinya enak berasa dan pelayanannya ramah
1071;Tempatnya rame, enak buat nongkrong,  tempatnya agak masuk ke dalam tapi mudah ditemui oleh tiap malam banyak motor yang parkir, pilihan menunya beragam dan favorit adalah KODACHY (Kopi, Soda, Stroberi).
1072;Tempatnya asik buat nongkrong, sore lebih enak sih buat ngopi senja, terus pilih duduknya yg di luar aja biar langsung kena angin sore 👍🏼 …
1073;"""9/10/23"
1074;"Pertama kali kesini nyobain ayam gogo yg kata tmn² aku enak. Ternyata beneran enak ayam nya empuk👍🏻 …"""
1075;"""NYAMAN SEMUA."
1076;"TERUS MINTA KECAP"""
1077;"""Pelayanan sangat baik, lebih baik dari pada staf2 KFC."
1078;"Apa lgi kk yg berkerudung berkacamata sangat baik, sopan dan frendly, btw untuk suasana cafe sebenarnya nyama2 aja.. terkesan sangat simple malah, tpi gak ada masalah karna bersih dan sejuk (indornya), ini salah satu coffee shop yg sering gw datengin.. 👌👌 …"""
1079;Tempat terbaik untuk mendengar cerita dari temen mu, ketika dia secara tiba tiba masang status wa islami. (instagram anon)
1080;great coffee! I enjoyed their specialty coffee (I can't remember the name) but it was great!
1081;Coffee roastery yg menyediakan beragam jenis biji kopi👌👍 …
1082;Boleh lah coba japanesse brew nya
1083;Tempatnya nyaman, terima kasih 🙏 …
1084;Tempatnya nyaman .... Pelayanan ramah.
1085;Suasananya enak & parkirnya luas
1086;Tempat ya nyaman untuk teman teman
1087;Good !
1088;Caramel macchiato nya oke.
1089;Best coffee in town👍 …
1090;Good Coffee , Good service, Good ambience
1091;Reccomended tmpt nongki 🤘🏻 …
1092;Mantap oleh punya radit
1093;Nice place always 🤘 …
1094;Kafe yang cukup bagus, ada ruangan  indoor berAC dan outdoor. Menunya cukup variatif, kopinya juga cukup variatif, espresso-nya mantap
